file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
simulation/depth_100x/BC09SIM_100x_1.fastq.gz	FASTQ	DNA	100000	2600000	26	26.0	26	26	26	26	0	26	1	100	100	40.00	28.89	0
simulation/depth_100x/BC09SIM_100x_2.fastq.gz	FASTQ	DNA	100000	15000000	150	150.0	150	150	150	150	0	150	1	98	92	27.79	54.47	0
simulation/depth_10x/BC09SIM_10x_1.fastq.gz	FASTQ	DNA	10000	260000	26	26.0	26	26	26	26	0	26	1	100	100	40.00	28.84	0
simulation/depth_10x/BC09SIM_10x_2.fastq.gz	FASTQ	DNA	10000	1500000	150	150.0	150	150	150	150	0	150	1	98	92	27.79	54.47	0
simulation/depth_2x/BC09SIM_2x_1.fastq.gz	FASTQ	DNA	2000	52000	26	26.0	26	26	26	26	0	26	1	100	100	40.00	28.89	0
simulation/depth_2x/BC09SIM_2x_2.fastq.gz	FASTQ	DNA	2000	300000	150	150.0	150	150	150	150	0	150	1	98	92	27.76	54.46	0
simulation/depth_50x/BC09SIM_50x_1.fastq.gz	FASTQ	DNA	50000	1300000	26	26.0	26	26	26	26	0	26	1	100	100	40.00	28.86	0
simulation/depth_50x/BC09SIM_50x_2.fastq.gz	FASTQ	DNA	50000	7500000	150	150.0	150	150	150	150	0	150	1	98	92	27.79	54.47	0
